"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"2018","Atmospheric","McGuire","Aggregated Record","Noble Gases","2.291274e+0"
"2013","Liquid","Zaporozhye","Zaporizhzhia 4","C-14","0.000000e+0"
"2020","Liquid","Millstone","Millstone 2","H-3","3.255732e+2"
"2010","Liquid","Zaporozhye","Drain valve 2","C-14","0.000000e+0"
"1989","Liquid","Maine Yankee","Aggregated Record","H-3","1.561400e+4"
"2008","Atmospheric","Point Lepreau","Aggregated Record","Particulates","0.000000e+0"
"2019","Atmospheric","St. Alban","Aggregated Record","Iodine","7.610000e-3"
"2020","Atmospheric","Hanul","Hanul 6","Alpha","0.000000e+0"
"2020","Liquid","Kori","Kori 1","Alpha","0.000000e+0"
"2005","Liquid","Halden","OECD Halden reactor project","Iodine","4.200000e-4"
"1986","Atmospheric","Ringhals","Ringhals 2-4","Iodine","8.600000e-1"
"2007","Atmospheric","Kori","Kori 4","Beta/Gamma","1.591100e-4"
"1986","Atmospheric","Philippsburg","Philippsburg 2 (KKP-2)","C-14","6.900000e+1"
"1986","Liquid","R.E. Ginna","Aggregated Record","Beta/Gamma","7.630000e+1"
"1987","Atmospheric","Haddam Neck","Aggregated Record","Iodine","2.065000e-2"
"2009","Atmospheric","Oskarshamn","Oskarshamn 3","Noble Gases","2.664596e+1"
"2010","Atmospheric","Duane Arnold 1","Aggregated Record","Iodine","4.233000e-5"
"2024","Liquid","Pickering","Aggregated Record","C-14","3.500000e+1"
"2017","Liquid","St. Laurent","Aggregated Record","Iodine","6.620000e-3"
"2014","Atmospheric","Pilgrim","Aggregated Record","Iodine","1.186482e-3"
"1994","Liquid","Paks","Aggregated Record","H-3","1.800000e+4"
"2010","Atmospheric","Lasalle","Aggregated Record","Beta/Gamma","1.642840e-2"
"2024","Atmospheric","Heysham","Heysham 2 (Unit A)","C-14","1.290000e+3"
"2007","Liquid","Novovoronezh","Aggregated Record","Beta/Gamma","4.393707e+1"
"2018","Atmospheric","Shearon Harris","Aggregated Record","Noble Gases","1.297528e-1"
"2019","Atmospheric","Hanul","Hanul 2","Noble Gases","5.820000e+0"
"2014","Atmospheric","Temelin","Temelin-1","Beta/Gamma","5.390000e-4"
"1986","Liquid","Flamanville","Aggregated Record","H-3","7.000000e+3"
"2018","Atmospheric","Hanul","Hanul 2","Noble Gases","4.239700e+0"
"1990","Atmospheric","South Texas","Aggregated Record","Noble Gases","1.039700e+4"
"2015","Liquid","Hanul","Hanul 1","H-3","1.100000e+4"
"2010","Liquid","Diablo Canyon","Aggregated Record","Beta/Gamma","2.338450e-2"
"2013","Liquid","Sizewell A","Sizewell A (AA-AB)","Beta/Gamma","1.240000e+2"
"2011","Atmospheric","Forsmark","Forsmark 3","Iodine","2.100000e-1"
"2020","Liquid","Angra","Angra 1","H-3","7.820000e+3"
"2013","Atmospheric","Wylfa","Aggregated Record","H-3","1.020000e+3"
"2023","Atmospheric","Hanbit","Hanbit 6","Noble Gases","4.600000e+0"
"2008","Atmospheric","Monju","Aggregated Record","H-3","2.200000e+0"
"2020","Atmospheric","Leibstadt","Aggregated Record","Iodine","2.433943e-2"
"2013","Atmospheric","Kori","Kori 3","C-14","8.730000e+1"
"2005","Atmospheric","Nogent","Aggregated Record","H-3","1.870000e+3"
"2019","Atmospheric","Dresden","Dresden 2","C-14","1.459000e+1"
"2014","Atmospheric","South Ukraine","Drain valve 2","Beta/Gamma","3.518220e-3"
"2010","Atmospheric","Comanche Peak","Aggregated Record","C-14","2.548000e+1"
"2024","Atmospheric","Wolsong","Wolsong 1","H-3","8.845000e+3"
"2018","Atmospheric","Chinon","Aggregated Record","H-3","1.280000e+3"
"2016","Liquid","Arkansas One","Arkansas One 1","Beta/Gamma","1.482069e-1"
"2018","Atmospheric","Arkansas One","Arkansas One 1","Iodine","1.690000e-6"
"2014","Atmospheric","Khmelnitski","Drain valve","Beta/Gamma","1.581840e-3"
"2016","Atmospheric","Loviisa","Loviisa 1","Beta/Gamma","7.607000e-4"
"2010","Atmospheric","Oskarshamn","Oskarshamn 2","Noble Gases","4.595642e+3"
"2009","Atmospheric","Khmelnitski","Khmelnitski 1","Iodine","3.131102e-2"
"2008","Atmospheric","Forsmark","Forsmark 1","Noble Gases","4.000000e+2"
"1986","Atmospheric","Hope Creek","Aggregated Record","Noble Gases","1.410000e+3"
"2014","Liquid","Torness","Aggregated Record","Beta/Gamma","8.893470e+2"
"2015","Atmospheric","Palisades","Aggregated Record","Noble Gases","1.080373e+1"
"2019","Atmospheric","Bohunice","Bitumen line","Beta/Gamma","6.788748e-5"
"2014","Atmospheric","Hanul","Hanul 3","Noble Gases","1.540000e+1"
"2016","Atmospheric","Ringhals","Ringhals 1","Alpha","1.977000e-5"
"1992","Atmospheric","Gentilly","Aggregated Record","H-3","3.220000e+5"
"1985","Atmospheric","Arkansas One","Aggregated Record","Iodine","2.286600e-1"
"2025","Atmospheric","Hanul","Shin-Hanul 1","C-14","1.980000e+2"
"2018","Atmospheric","Hanul","Hanul 4","C-14","7.020000e+1"
"1985","Atmospheric","Bruce","Bruce A 1-4","Beta/Gamma","2.900000e-1"
"2017","Atmospheric","Zaporozhye","Zaporizhzhia 4","Beta/Gamma","1.887500e-3"
"2017","Atmospheric","Watts Bar","Aggregated Record","Noble Gases","3.594672e+1"
"2014","Atmospheric","Wolsong","Shin-Wolsong 1","H-3","1.310000e+2"
"2011","Atmospheric","Khmelnitski","Khmelnitski 1","Particulates","3.010400e-3"
"2014","Atmospheric","Zaporozhye","Drain valve 1","H-3","0.000000e+0"
"1993","Atmospheric","Berkeley","Aggregated Record","H-3","2.200000e+1"
"2014","Atmospheric","Vogtle","Vogtle 2","Beta/Gamma","3.824000e-7"
"2015","Atmospheric","Takahama","Aggregated Record","Noble Gases","2.500000e-1"
"1992","Atmospheric","WPPSS 2","Aggregated Record","H-3","1.783400e+3"
"2011","Atmospheric","Monticello","Aggregated Record","C-14","4.600000e+0"
"2019","Atmospheric","Atucha","Atucha 1","H-3","6.800000e+5"
"1994","Liquid","River Bend","Aggregated Record","H-3","2.400000e+3"
"1986","Atmospheric","Big Rock Point","Aggregated Record","H-3","3.515000e+2"
"2011","Liquid","Rovno","Rovno-3","Beta/Gamma","0.000000e+0"
"2019","Atmospheric","Bohunice","NPP V2/SEAS","Beta/Gamma","1.908230e-3"
"2020","Liquid","Kori","Shin-Kori 4","H-3","1.314000e+4"
"2020","Atmospheric","Hanbit","Hanbit 2","C-14","2.605000e+1"
"2025","Liquid","Hanbit","Hanbit 5","Beta/Gamma","4.271700e-2"
"2008","Atmospheric","Hatch","Hatch 2","Beta/Gamma","2.140185e-5"
"2010","Atmospheric","Torness","Aggregated Record","Particulates","4.420000e-3"
"2009","Atmospheric","Palo Verde","Palo Verde 2","Noble Gases","1.693530e+0"
"2013","Atmospheric","South Ukraine","Drain valve 2","H-3","0.000000e+0"
"1988","Liquid","Kakrapar","Kakrapar 1","Beta/Gamma","1.000000e-1"
"2017","Atmospheric","Wolf Creek","Aggregated Record","H-3","4.206000e+1"
"2012","Atmospheric","Byron","Byron 1","Iodine","5.508270e-6"
"2008","Liquid","Zaporozhye","Zaporizhzhia 4","Other","0.000000e+0"
"1985","Atmospheric","Dungeness A","Dungeness A (AA-AB)","Beta/Gamma","2.000000e-1"
"2023","Atmospheric","Bruce","Bruce 5","Beta/Gamma","6.800000e-3"
"2021","Liquid","Takahama","Aggregated Record","Alpha","0.000000e+0"
"2008","Liquid","Nogent","Aggregated Record","C-14","2.890000e+1"
"1986","Atmospheric","Ignalina","Aggregated Record","Noble Gases","3.170000e+6"
"1994","Liquid","Diablo Canyon","Aggregated Record","H-3","1.020000e+5"
"2015","Liquid","Peach Bottom","Aggregated Record","H-3","1.121000e+1"
"2008","Liquid","Takahama","Aggregated Record","Other","0.000000e+0"
"2022","Atmospheric","Pickering","Aggregated Record","Noble Gases","1.000000e+5"
"2013","Atmospheric","Zaporozhye","Zaporizhzhia 1 ","H-3","0.000000e+0"
"2022","Atmospheric","Leibstadt","Leibstadt_EC","Beta/Gamma","3.590000e-4"
"1988","Liquid","Chernobyl","Aggregated Record","Alpha","1.940000e+2"
"2019","Atmospheric","Rovno","Rovno-3","Beta/Gamma","8.898500e-4"
"2016","Atmospheric","Farley","Farley 1","Beta/Gamma","5.411000e-7"
"2004","Liquid","Chooz","Aggregated Record","C-14","3.690000e+1"
"2014","Atmospheric","R.E. Ginna","Aggregated Record","C-14","6.800000e+0"
"2020","Atmospheric","Millstone","Millstone 1","H-3","1.468500e-1"
"2008","Atmospheric","Barseback","Barsebäck 1","Alpha","8.470716e-5"
"2024","Atmospheric","Hanul","Hanul 5","C-14","1.036280e+2"
"2010","Atmospheric","Byron","Byron 1","Beta/Gamma","2.265000e-5"
"2012","Atmospheric","Heysham","Heysham 1 (Unit A)","Beta/Gamma","2.550645e+1"
"2004","Atmospheric","Almaraz","Aggregated Record","Noble Gases","3.274600e+2"
"2012","Atmospheric","Dukovany","Dukovany 3-4","C-14","3.916077e+2"
"2023","Atmospheric","Genkai","Aggregated Record","H-3","1.200000e+3"
"2017","Atmospheric","Palo Verde","Palo Verde 1","Iodine","2.190980e-4"
"2017","Atmospheric","Ikata","Aggregated Record","Noble Gases","2.000000e-1"
"2008","Atmospheric","Gravelines","Aggregated Record","Noble Gases","2.903186e+3"
"1986","Atmospheric","Olkiluoto","Aggregated Record","Noble Gases","5.800000e+3"
"2019","Liquid","H.B. Robinson","Aggregated Record","Beta/Gamma","5.113708e-3"
"2016","Liquid","Sizewell B","Sizewell B","Other","4.510000e+0"
"1988","Atmospheric","Palisades","Aggregated Record","Noble Gases","8.990000e+4"
"2003","Atmospheric","Penly","Aggregated Record","C-14","4.640000e+2"
"1986","Atmospheric","Stade","Aggregated Record","H-3","1.100000e+3"
"2018","Atmospheric","Arkansas One","Arkansas One 2","Noble Gases","1.500000e+1"
"2013","Atmospheric","Hope Creek","Aggregated Record","Iodine","3.746600e-2"
"2013","Liquid","Beloyarsky","Aggregated Record","Beta/Gamma","1.886320e-1"
"2010","Liquid","Atucha","Atucha 1","H-3","1.100000e+6"
"2018","Atmospheric","Beloyarsky","Aggregated Record","Noble Gases","6.990000e+3"
"2009","Atmospheric","Zaporozhye","Zaporizhzhia 5","C-14","0.000000e+0"
"1994","Atmospheric","San Onofre","Aggregated Record","H-3","3.680000e+3"
"2009","Liquid","St. Lucie","St. Lucie 1","C-14","4.640900e-2"
"2018","Liquid","Trawsfynydd","Aggregated Record","Beta/Gamma","2.300000e-1"
"2008","Liquid","Tricastin","Aggregated Record","H-3","3.550000e+4"
"2020","Liquid","Fukushima-Daini","Aggregated Record","Alpha","0.000000e+0"
"2007","Liquid","Fugen ATR","Aggregated Record","Other","0.000000e+0"
"2024","Liquid","Kursk","Aggregated Record","H-3","2.950000e+1"
"2019","Atmospheric","Beznau","Aggregated Record","Beta/Gamma","7.511920e-5"
"2016","Atmospheric","Braidwood","Braidwood 2","Iodine","4.810076e-4"
"2008","Atmospheric","Dukovany","Dukovany 3-4","Beta/Gamma","6.512980e-3"
"2018","Atmospheric","Koeberg","Aggregated Record","Noble Gases","1.275870e+2"
"1985","Atmospheric","Bruce","Bruce B 5-8","H-3","9.800000e+4"
"2011","Atmospheric","Susquehanna","Aggregated Record","Beta/Gamma","2.317500e-4"
"2015","Atmospheric","Heysham","Heysham 1 (Unit A)","H-3","8.270000e+2"
"1996","Atmospheric","Tomari","Aggregated Record","Noble Gases","3.000000e+0"
"2008","Atmospheric","Gravelines","Aggregated Record","H-3","1.410000e+3"
"2011","Atmospheric","Monticello","Aggregated Record","H-3","7.170000e+0"
"2015","Atmospheric","Bohunice","Interim storage of spent fuel","Alpha","2.519401e-7"
"2017","Atmospheric","Oskarshamn","Oskarshamn 2","Other","1.665138e-6"
"2005","Atmospheric","Fessenheim","Aggregated Record","Beta/Gamma","5.375000e-3"
"2022","Atmospheric","Kola","Aggregated Record","C-14","1.220000e+2"
"2009","Atmospheric","Hanbit","Hanbit 3","Noble Gases","1.090000e+1"
"1994","Liquid","Tomari","Aggregated Record","H-3","2.100000e+4"
"2018","Liquid","Khmelnitski","Drain valve","Particulates","0.000000e+0"
"2017","Atmospheric","Kursk","Aggregated Record","Beta/Gamma","2.410000e-1"
"1989","Liquid","Sellafield","Aggregated Record","Alpha","2.785600e+3"
"1985","Atmospheric","Byron","Aggregated Record","Iodine","7.807000e-2"
"2024","Atmospheric","Kori","Kori 4","Noble Gases","2.534300e+1"
"2012","Liquid","Hanul","Hanul 2","H-3","8.160000e+3"
"2023","Atmospheric","Wolsong","Wolsong 1","H-3","7.460000e+3"
"2003","Atmospheric","Dampierre","Aggregated Record","H-3","6.740000e+2"
"2009","Liquid","Braidwood","Braidwood 2","H-3","5.283000e+2"
"2015","Atmospheric","Rovno","Rovno 1-2","Other","0.000000e+0"
"2018","Atmospheric","Zaporozhye","Drain valve 2","Beta/Gamma","6.361300e-3"
"2012","Atmospheric","Pickering","Pickering 5-8","C-14","9.400000e+2"
"2015","Atmospheric","Oskarshamn","Oskarshamn 3","C-14","6.772278e+2"
"1998","Atmospheric","Dukovany","Aggregated Record","Noble Gases","7.400000e+3"
"2015","Atmospheric","Pickering","Pickering 5-8","Alpha","6.100000e-4"
"2014","Liquid","Hanul","Hanul 2","H-3","9.270000e+3"
"2009","Atmospheric","Ikata","Aggregated Record","Noble Gases","2.600000e+2"
"1994","Atmospheric","Balakovo","Aggregated Record","Beta/Gamma","2.400000e-1"
"1993","Liquid","Calder Hall","Aggregated Record","H-3","3.600000e+2"
"2012","Liquid","Bilibino","Aggregated Record","Beta/Gamma","2.266000e-1"
"2010","Atmospheric","Wolsong","Wolsong 2","C-14","7.700000e+1"
"2012","Liquid","Bruce","Bruce B 5-8","Alpha","1.110000e-3"
"2007","Liquid","South Ukraine","Drain valve 2","C-14","0.000000e+0"
"2024","Liquid","Wolsong","Wolsong 1","Iodine","0.000000e+0"
"2006","Liquid","Chinon","Aggregated Record","Beta/Gamma","4.840000e-1"
"2020","Atmospheric","Catawba","Aggregated Record","Noble Gases","1.130046e+1"
"2025","Liquid","Hanbit","Hanbit 2","Iodine","0.000000e+0"
"2018","Liquid","Chooz","Aggregated Record","C-14","1.890000e+1"
"2010","Atmospheric","Asco","Aggregated Record","C-14","4.560000e+2"
"2010","Atmospheric","Nine Mile Point","Nine Mile Point 1","Noble Gases","3.090000e-5"
"2013","Atmospheric","Beaver Valley","Beaver Valley 2","C-14","7.536250e-4"
"2021","Atmospheric","Laguna Verde","Laguna Verde 2","Beta/Gamma","4.090000e-2"
"1994","Atmospheric","Zion","Aggregated Record","Iodine","9.900000e-3"
"2015","Atmospheric","Hatch","Hatch 1","C-14","1.416000e+1"
"2011","Liquid","Kozloduy","Auxiliary building","Alpha","1.110000e-6"
"2015","Liquid","Atucha","Atucha 2","H-3","1.400000e+5"
"2023","Atmospheric","Shimane","Aggregated Record","H-3","3.000000e+1"
"2015","Atmospheric","Byron","Byron 2","C-14","4.610000e+0"
"2008","Liquid","Hatch","Hatch 1","H-3","2.972440e+1"
"1957","Liquid","Sellafield","Aggregated Record","Alpha","2.150160e+3"
"1985","Atmospheric","Calvert Cliffs","Aggregated Record","Iodine","1.924000e+0"
"2018","Atmospheric","Zaporozhye","Zaporizhzhia 1 ","Alpha","0.000000e+0"
"2025","Liquid","Wolsong","Wolsong 4","Alpha","0.000000e+0"
"2013","Atmospheric","Civaux","Aggregated Record","H-3","1.700000e+3"
"2018","Atmospheric","Hinkley Point","Hinkley Point A (AA-AB)","Other","2.000000e-4"
"2018","Atmospheric","Novovoronezh","Aggregated Record","Iodine","3.600000e-2"
"2018","Liquid","Wolsong","Shin-Wolsong 2","Beta/Gamma","5.040000e-2"
"2007","Atmospheric","Penly","Aggregated Record","Noble Gases","7.970500e+2"
"2010","Atmospheric","Ikata","Aggregated Record","Iodine","1.700000e-5"
"2014","Liquid","Wolsong","Shin-Wolsong 1","H-3","8.410000e+2"
"2015","Atmospheric","Monju","Aggregated Record","Noble Gases","0.000000e+0"
"2019","Atmospheric","South Texas","South Texas 2","H-3","4.403000e+1"
"2007","Liquid","Zaporozhye","Zaporizhzhia 1 ","Other","0.000000e+0"
"2017","Atmospheric","Rovno","Rovno-3","Alpha","0.000000e+0"
"2014","Liquid","Wolsong","Wolsong 3","H-3","2.680000e+4"
"2005","Atmospheric","St. Laurent","Aggregated Record","Iodine","1.180000e-2"
"2023","Atmospheric","Kori","Kori 3","Iodine","5.830000e-4"
"2020","Liquid","Ringhals","Ringhals 1","H-3","3.700000e+2"
"2021","Liquid","Kursk","Aggregated Record","H-3","6.231000e+1"
"2018","Atmospheric","Leibstadt","Aggregated Record","C-14","4.800000e+2"
"1996","Atmospheric","Chinshan","Aggregated Record","Iodine","9.100000e-2"
"1995","Atmospheric","Goesgen","Aggregated Record","Noble Gases","1.900000e+4"
"2023","Liquid","Hanul","Hanul 2","H-3","1.590000e+4"
"2016","Liquid","Braidwood","Braidwood 1","Beta/Gamma","1.448911e-2"
"1986","Atmospheric","Hunterston","Hunterston A (A1-A2)","Beta/Gamma","6.500000e-2"
"2020","Atmospheric","Barseback","Barsebäck 2","Other","2.181234e-6"
"2010","Atmospheric","Rovno","Rovno 1-2","Beta/Gamma","2.944900e-2"
"1993","Atmospheric","Surry","Aggregated Record","Iodine","2.260700e-2"
"2007","Liquid","Fessenheim","Aggregated Record","H-3","1.760000e+4"
"2008","Atmospheric","Dampierre","Aggregated Record","Iodine","7.640000e-2"
"2014","Atmospheric","Asco","Aggregated Record","Noble Gases","1.843350e+4"
"1986","Atmospheric","Trojan","Aggregated Record","H-3","1.090000e+3"
"2016","Atmospheric","Rovno","Rovno-4","Other","0.000000e+0"
"2015","Liquid","Oconee","Aggregated Record","Iodine","5.040000e-6"
"2016","Liquid","Palisades","Aggregated Record","Beta/Gamma","2.928440e-3"
"2011","Liquid","Catawba","Aggregated Record","Beta/Gamma","6.622043e-2"
"2012","Atmospheric","Zaporozhye","Drain valve 1","Noble Gases","6.955000e+3"
"2011","Atmospheric","Loviisa","Loviisa 1","H-3","6.620000e+1"
"2017","Liquid","Tihange","Tihange 1","Alpha","4.700000e-4"
"2013","Liquid","Novovoronezh","Aggregated Record","Beta/Gamma","1.502790e+0"
"2015","Liquid","Three Mile Island","Three Mile Island 1","Beta/Gamma","2.385100e-4"
"2017","Liquid","Flamanville","Aggregated Record","C-14","2.450000e+1"
"2024","Atmospheric","Hanul","Hanul 4","Noble Gases","1.930000e+1"
"2016","Atmospheric","Point Beach","Aggregated Record","C-14","1.176000e+1"
"2012","Atmospheric","San Onofre","Aggregated Record","Iodine","4.473900e-4"
"2014","Atmospheric","Golfech","Aggregated Record","C-14","3.570000e+2"
"2008","Atmospheric","St. Alban","Aggregated Record","C-14","2.480000e+2"
"2022","Liquid","Hanbit","Hanbit 2","H-3","4.400000e+3"
"2013","Atmospheric","Ringhals","Ringhals 1","Iodine","2.230000e-2"
"2018","Atmospheric","Beaver Valley","Beaver Valley 2","C-14","8.350000e+0"
"2019","Atmospheric","Kursk","Aggregated Record","Beta/Gamma","3.921000e-1"
"2015","Liquid","Tricastin","Aggregated Record","C-14","4.490000e+1"
"2018","Liquid","Chapelcross","Aggregated Record","Other","2.370000e+0"
"1996","Atmospheric","Balakovo","Aggregated Record","Noble Gases","6.880000e+3"
"2005","Atmospheric","St. Alban","Aggregated Record","Beta/Gamma","1.502500e-2"
"2008","Atmospheric","Vandellos","Vandellos 2","Noble Gases","9.610000e+3"
"2013","Liquid","R.E. Ginna","Aggregated Record","Beta/Gamma","4.421600e-4"
"2011","Liquid","Dungeness B","Aggregated Record","Beta/Gamma","5.663900e+1"
"2014","Atmospheric","Heysham","Heysham 2 (Unit B)","Noble Gases","9.910000e+3"
"2021","Atmospheric","Novovoronezh","Aggregated Record","C-14","5.240000e+2"
"2010","Atmospheric","Duane Arnold 1","Aggregated Record","C-14","8.170000e+0"
"2003","Atmospheric","Dampierre","Aggregated Record","Noble Gases","3.045851e+3"
"2018","Atmospheric","Temelin","Temelin-2","Noble Gases","1.742929e+3"
"2018","Liquid","South Ukraine","South Ukraine 1-2","Beta/Gamma","0.000000e+0"
"2003","Liquid","Dampierre","Aggregated Record","C-14","4.140000e+1"
"2014","Atmospheric","Zaporozhye","Zaporizhzhia 4","Particulates","3.630000e-2"
"2015","Liquid","Ohi","Aggregated Record","Other","0.000000e+0"
"1994","Liquid","South Ukraine","South Ukraine 1-3","H-3","2.800000e+1"
"1994","Liquid","Catawba","Aggregated Record","H-3","2.170000e+4"
"2019","Atmospheric","Nine Mile Point","Nine Mile Point 2","H-3","1.577300e+2"
"2013","Atmospheric","Dampierre","Aggregated Record","Noble Gases","2.840000e+3"
"2014","Liquid","Trillo","Aggregated Record","H-3","2.010000e+4"
"1991","Atmospheric","Leningrad","Aggregated Record","Iodine","3.630000e+1"
"2024","Atmospheric","Wolsong","Shin-Wolsong 1","C-14","8.900000e+1"
"2021","Liquid","Loviisa","Aggregated Record","Iodine","5.798638e-4"
"1962","Liquid","Sellafield","Aggregated Record","Beta/Gamma","1.294210e+6"
"2015","Atmospheric","Salem","Salem 1","C-14","1.115000e+1"
"2017","Liquid","Rovno","Rovno-4","H-3","0.000000e+0"
"2016","Atmospheric","Paluel","Aggregated Record","C-14","4.640000e+2"
"2017","Liquid","Embalse","Aggregated Record","Beta/Gamma","5.300000e-2"
"2008","Atmospheric","Rovno","Rovno-3","Particulates","2.278900e-2"
"2012","Atmospheric","Oskarshamn","Oskarshamn 3","H-3","3.648148e+2"
"2005","Atmospheric","Chooz","Aggregated Record","Noble Gases","6.583880e+2"
